date,day_of_the_month,day_of_the_year,year,hour_num,words,type
2015-08-29,29,241,2015,23.62,153,firstDay
2015-08-29,29,241,2015,23.63,18,firstDay
2015-08-29,29,241,2015,23.67,17,firstDay
2015-08-29,29,241,2015,23.7,105,firstDay
2015-08-29,29,241,2015,23.73,30,firstDay
2015-08-29,29,241,2015,23.75,78,firstDay
2015-08-29,29,241,2015,23.77,38,firstDay
2015-08-29,29,241,2015,23.82,71,firstDay
2015-08-29,29,241,2015,23.88,93,firstDay
2015-08-29,29,241,2015,23.93,55,firstDay
2015-08-29,29,241,2015,23.95,62,firstDay
2015-08-29,29,241,2015,23.98,11,firstDay
2015-08-29,30,242,2015,24,43,firstDay
2015-08-29,30,242,2015,24.03,85,firstDay
2015-08-29,30,242,2015,24.07,40,firstDay
2015-08-29,30,242,2015,24.08,63,firstDay
2015-08-29,30,242,2015,24.12,76,firstDay
2015-08-29,30,242,2015,24.15,90,firstDay
2015-08-29,30,242,2015,24.18,81,firstDay
2015-08-29,30,242,2015,24.22,101,firstDay
2015-08-29,30,242,2015,24.23,21,firstDay
2015-08-29,30,242,2015,24.27,18,firstDay
2015-08-29,30,242,2015,24.3,14,firstDay
2015-08-29,30,242,2015,24.33,77,firstDay
2015-08-29,30,242,2015,24.37,96,firstDay
2015-08-29,30,242,2015,24.38,103,firstDay
2015-08-29,30,242,2015,24.4,214,firstDay
2015-08-29,30,242,2015,24.42,64,firstDay
2015-08-29,30,242,2015,24.43,105,firstDay
2015-08-29,30,242,2015,24.45,78,firstDay
2015-08-29,30,242,2015,24.48,137,firstDay
2015-08-29,30,242,2015,24.5,123,firstDay
2015-08-29,30,242,2015,24.53,166,firstDay
2015-08-29,30,242,2015,24.55,95,firstDay
2015-08-29,30,242,2015,24.57,94,firstDay
2015-08-29,30,242,2015,24.58,160,firstDay
2015-08-29,30,242,2015,24.6,65,firstDay
2015-08-29,30,242,2015,24.62,65,firstDay
2015-08-29,30,242,2015,24.63,88,firstDay
2015-08-29,30,242,2015,24.67,49,firstDay
2015-08-29,30,242,2015,24.7,74,firstDay
2015-08-29,30,242,2015,24.73,46,firstDay
2015-08-29,30,242,2015,24.75,72,firstDay
2015-08-29,30,242,2015,24.78,119,firstDay
2015-08-29,30,242,2015,24.8,81,firstDay
2015-08-29,30,242,2015,24.82,73,firstDay
2015-08-29,30,242,2015,24.83,96,firstDay
2015-08-29,30,242,2015,24.87,74,firstDay
2015-08-29,30,242,2015,24.88,148,firstDay
2015-08-29,30,242,2015,24.92,37,firstDay
2015-08-29,30,242,2015,24.93,87,firstDay
2015-08-29,30,242,2015,24.97,43,firstDay
2015-08-29,30,242,2015,24.98,127,firstDay
2015-08-29,30,242,2015,25,79,firstDay
2015-08-29,30,242,2015,25.05,58,firstDay
2015-08-29,30,242,2015,25.1,118,firstDay
2015-08-29,30,242,2015,25.23,44,firstDay
2015-08-30,31,243,2015,24.35,73,topDay
2015-08-30,30,242,2015,10.08,66,firstDay
2015-08-30,30,242,2015,10.73,49,firstDay
2015-08-30,30,242,2015,11.78,11,firstDay
2015-08-30,30,242,2015,11.8,72,firstDay
2015-08-30,30,242,2015,11.82,31,firstDay
2015-08-30,30,242,2015,11.83,20,firstDay
2015-08-30,30,242,2015,11.88,38,firstDay
2015-08-30,30,242,2015,11.9,68,firstDay
2015-08-30,30,242,2015,12.02,60,firstDay
2015-08-30,30,242,2015,15.3,97,firstDay
2015-08-30,30,242,2015,15.33,23,firstDay
2015-08-30,30,242,2015,15.35,56,firstDay
2015-08-30,30,242,2015,15.38,78,firstDay
2015-08-30,30,242,2015,16.35,26,firstDay
2015-08-30,30,242,2015,16.92,16,firstDay
2015-08-30,30,242,2015,16.93,25,firstDay
2015-08-30,30,242,2015,18,26,firstDay
2015-08-30,30,242,2015,18.07,60,firstDay
2015-08-30,30,242,2015,18.15,29,firstDay
2015-08-30,30,242,2015,18.18,13,firstDay
2015-08-30,30,242,2015,22.9,65,firstDay
2015-08-30,30,242,2015,23.6,48,firstDay
2015-08-30,31,243,2015,24.28,61,firstDay
2015-08-30,31,243,2015,24.33,47,firstDay
2015-08-30,31,243,2015,24.35,73,firstDay
2015-08-30,31,243,2015,24.53,18,firstDay
2015-08-30,31,243,2015,24.55,32,firstDay
2015-08-30,31,243,2015,24.57,33,firstDay
2015-08-30,31,243,2015,24.7,57,firstDay
2015-08-30,31,243,2015,24.72,31,firstDay
2015-08-31,01,244,2015,25.1,187,topDay
2015-08-31,01,244,2015,25.25,230,topDay
2015-08-31,01,244,2015,25.28,186,topDay
2015-08-31,01,244,2015,25.3,145,topDay
2015-08-31,01,244,2015,25.33,141,topDay
2015-08-31,31,243,2015,16.55,120,topDay
2015-08-31,31,243,2015,16.58,84,topDay
2015-08-31,31,243,2015,16.62,107,topDay
2015-08-31,31,243,2015,16.63,104,topDay
2015-08-31,31,243,2015,16.65,76,topDay
2015-08-31,31,243,2015,18.52,95,topDay
2015-08-31,31,243,2015,18.93,98,topDay
2015-08-31,31,243,2015,21.78,85,topDay
2015-08-31,31,243,2015,23.97,72,topDay
2015-08-31,01,244,2015,24.03,41,firstDay
2015-08-31,01,244,2015,24.28,83,firstDay
2015-08-31,01,244,2015,25.05,74,firstDay
2015-08-31,01,244,2015,25.1,187,firstDay
2015-08-31,01,244,2015,25.25,230,firstDay
2015-08-31,01,244,2015,25.27,99,firstDay
2015-08-31,01,244,2015,25.28,186,firstDay
2015-08-31,01,244,2015,25.3,145,firstDay
2015-08-31,01,244,2015,25.32,63,firstDay
2015-08-31,01,244,2015,25.33,141,firstDay
2015-08-31,01,244,2015,25.35,63,firstDay
2015-08-31,01,244,2015,25.37,90,firstDay
2015-08-31,31,243,2015,16.48,21,firstDay
2015-08-31,31,243,2015,16.5,51,firstDay
2015-08-31,31,243,2015,16.53,21,firstDay
2015-08-31,31,243,2015,16.55,120,firstDay
2015-08-31,31,243,2015,16.57,63,firstDay
2015-08-31,31,243,2015,16.58,84,firstDay
2015-08-31,31,243,2015,16.62,107,firstDay
2015-08-31,31,243,2015,16.63,104,firstDay
2015-08-31,31,243,2015,16.65,76,firstDay
2015-08-31,31,243,2015,16.67,32,firstDay
2015-08-31,31,243,2015,16.68,70,firstDay
2015-08-31,31,243,2015,16.7,36,firstDay
2015-08-31,31,243,2015,16.78,34,firstDay
2015-08-31,31,243,2015,18.52,95,firstDay
2015-08-31,31,243,2015,18.58,69,firstDay
2015-08-31,31,243,2015,18.63,31,firstDay
2015-08-31,31,243,2015,18.72,62,firstDay
2015-08-31,31,243,2015,18.73,41,firstDay
2015-08-31,31,243,2015,18.93,98,firstDay
2015-08-31,31,243,2015,21.77,48,firstDay
2015-08-31,31,243,2015,21.78,85,firstDay
2015-08-31,31,243,2015,23.45,51,firstDay
2015-08-31,31,243,2015,23.47,53,firstDay
2015-08-31,31,243,2015,23.93,55,firstDay
2015-08-31,31,243,2015,23.95,62,firstDay
2015-08-31,31,243,2015,23.97,72,firstDay
2015-09-01,01,244,2015,14.28,106,topDay
2015-09-01,01,244,2015,15.38,187,topDay
2015-09-01,01,244,2015,20.08,128,topDay
2015-09-01,01,244,2015,21.15,126,topDay
2015-09-01,01,244,2015,21.25,143,topDay
2015-09-01,01,244,2015,13.45,29,firstDay
2015-09-01,01,244,2015,14.15,39,firstDay
2015-09-01,01,244,2015,14.28,106,firstDay
2015-09-01,01,244,2015,15.25,76,firstDay
2015-09-01,01,244,2015,15.35,95,firstDay
2015-09-01,01,244,2015,15.37,27,firstDay
2015-09-01,01,244,2015,15.38,187,firstDay
2015-09-01,01,244,2015,18.17,96,firstDay
2015-09-01,01,244,2015,18.18,80,firstDay
2015-09-01,01,244,2015,18.43,25,firstDay
2015-09-01,01,244,2015,18.45,26,firstDay
2015-09-01,01,244,2015,18.47,53,firstDay
2015-09-01,01,244,2015,18.52,30,firstDay
2015-09-01,01,244,2015,19.73,45,firstDay
2015-09-01,01,244,2015,20.03,23,firstDay
2015-09-01,01,244,2015,20.05,34,firstDay
2015-09-01,01,244,2015,20.07,36,firstDay
2015-09-01,01,244,2015,20.08,128,firstDay
2015-09-01,01,244,2015,20.15,6,firstDay
2015-09-01,01,244,2015,20.17,70,firstDay
2015-09-01,01,244,2015,21.13,44,firstDay
2015-09-01,01,244,2015,21.15,126,firstDay
2015-09-01,01,244,2015,21.22,58,firstDay
2015-09-01,01,244,2015,21.23,87,firstDay
2015-09-01,01,244,2015,21.25,143,firstDay
2015-09-01,01,244,2015,21.33,88,firstDay
2015-09-01,01,244,2015,21.37,68,firstDay
2015-09-01,01,244,2015,21.38,75,firstDay
2015-09-01,01,244,2015,21.52,47,firstDay
2015-09-01,01,244,2015,21.53,45,firstDay
2015-09-01,01,244,2015,22.23,25,firstDay
2015-09-01,02,245,2015,25.45,89,firstDay
